TRADING JOURNAL — WEEKLY REPORT
Week ending : 2026-09-13  (2026-09-07 – 2026-09-13)
Generated   : 2026-09-13T22:00:01.393Z
============================================================

PERFORMANCE SUMMARY
----------------------------------------
Trading days  : 0
Total P&L     : +$0.00
Daily avg     : N/A
Win days      : 0 / 0 (N/A)


SETUP STATISTICS
----------------------------------------
10D_IB_MID_FADE_LONG           fired: 4 | wins: 2 | losses: 1 | expired: 1 | wr: 67% | avg +$33.27
    · BRACKET_BREAKOUT_LONG        | Normal OR              | WR: 8.6% vs Base: 17.2% (-8.6%) (p=0.0447)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)
    · C_STANDALONE_UP              | Wide OR                | WR: 28.6% vs Base: 37.1% (-8.5%) (p=0.0314)

ACD SIGNAL ACCURACY
----------------------------------------
A Up fired    : 3 day(s) | C confirm: 3 (100%)
A Down fired  : 2 day(s) | C confirm: 2 (100%)
Net score Δ   : +4
Day types     : BALANCE: 5

  2026-09-07  score: -4  A↓ C↓  [BALANCE]
  2026-09-08  score: -4  A↓ C↓  [BALANCE]
  2026-09-09  score: +4  A↑ C↑  [BALANCE]
  2026-09-10  score: +4  A↑ C↑  [BALANCE]
  2026-09-11  score: +4  A↑ C↑  [BALANCE]

TRADE QUALITY
----------------------------------------
No trade data this week.

GIVE-BACK / PEAK VS CLOSE
----------------------------------------
No coaching data this week.

FLAGS (auto-detected)
----------------------------------------
No notable flags this week.

INTERPRETATION (AI)
----------------------------------------
(Anthropic API error: 400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits."},"request_id":"req_011Cf2Bz34tzhgQW9pYuH6RE"})

WEEKLY ASSESSMENT
----------------------------------------
Process Grade : N/A

(Anthropic API error: 400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits."},"request_id":"req_011Cf2Bz3GoF5DJhQmwQEXRu"})

============================================================
